Time,Batch,Percentage,Social Media
0,2012,12,Facebook
1,2012,14,Facebook
2,2012,12,Facebook
3,2012,7,Facebook
4,2012,6,Facebook
5,2012,8,Facebook
6,2012,10,Facebook
7,2012,11,Facebook
8,2012,11,Facebook
9,2012,12,Facebook
10,2012,11,Facebook
11,2012,9,Facebook
12,2012,13,Facebook
13,2012,15,Facebook
14,2012,12,Facebook
15,2012,13,Facebook
16,2012,15,Facebook
17,2012,18,Facebook
18,2012,20,Facebook
19,2012,31,Facebook
20,2012,41,Facebook
21,2012,39,Facebook
22,2012,25,Facebook
23,2012,18,Facebook
0,2013,7,Facebook
1,2013,3,Facebook
2,2013,3,Facebook
3,2013,1,Facebook
4,2013,2,Facebook
5,2013,4,Facebook
6,2013,9,Facebook
7,2013,11,Facebook
8,2013,7,Facebook
9,2013,7,Facebook
10,2013,7,Facebook
11,2013,11,Facebook
12,2013,14,Facebook
13,2013,23,Facebook
14,2013,18,Facebook
15,2013,16,Facebook
16,2013,15,Facebook
17,2013,16,Facebook
18,2013,14,Facebook
19,2013,25,Facebook
20,2013,31,Facebook
21,2013,28,Facebook
22,2013,20,Facebook
23,2013,16,Facebook
0,2014,4,Facebook
1,2014,6,Facebook
2,2014,5,Facebook
3,2014,3,Facebook
4,2014,2,Facebook
5,2014,5,Facebook
6,2014,3,Facebook
7,2014,7,Facebook
8,2014,6,Facebook
9,2014,4,Facebook
10,2014,4,Facebook
11,2014,2,Facebook
12,2014,2,Facebook
13,2014,4,Facebook
14,2014,3,Facebook
15,2014,1,Facebook
16,2014,2,Facebook
17,2014,3,Facebook
18,2014,5,Facebook
19,2014,9,Facebook
20,2014,10,Facebook
21,2014,7,Facebook
22,2014,5,Facebook
23,2014,4,Facebook
