Time,Batch,Percentage,Social Media
0,2012,17,Line
1,2012,13,Line
2,2012,12,Line
3,2012,8,Line
4,2012,7,Line
5,2012,15,Line
6,2012,21,Line
7,2012,21,Line
8,2012,25,Line
9,2012,28,Line
10,2012,28,Line
11,2012,27,Line
12,2012,35,Line
13,2012,36,Line
14,2012,30,Line
15,2012,31,Line
16,2012,31,Line
17,2012,31,Line
18,2012,31,Line
19,2012,34,Line
20,2012,37,Line
21,2012,39,Line
22,2012,31,Line
23,2012,25,Line
0,2013,10,Line
1,2013,4,Line
2,2013,3,Line
3,2013,2,Line
4,2013,2,Line
5,2013,5,Line
6,2013,13,Line
7,2013,16,Line
8,2013,14,Line
9,2013,13,Line
10,2013,12,Line
11,2013,14,Line
12,2013,18,Line
13,2013,20,Line
14,2013,20,Line
15,2013,16,Line
16,2013,17,Line
17,2013,17,Line
18,2013,17,Line
19,2013,18,Line
20,2013,24,Line
21,2013,21,Line
22,2013,19,Line
23,2013,15,Line
0,2014,5,Line
1,2014,3,Line
2,2014,4,Line
3,2014,4,Line
4,2014,5,Line
5,2014,7,Line
6,2014,9,Line
7,2014,9,Line
8,2014,9,Line
9,2014,10,Line
10,2014,12,Line
11,2014,13,Line
12,2014,13,Line
13,2014,13,Line
14,2014,11,Line
15,2014,10,Line
16,2014,13,Line
17,2014,13,Line
18,2014,15,Line
19,2014,14,Line
20,2014,15,Line
21,2014,16,Line
22,2014,13,Line
23,2014,7,Line
