Time,Batch,Percentage,Social Media
0,2012,7,Twitter
1,2012,8,Twitter
2,2012,6,Twitter
3,2012,2,Twitter
4,2012,1,Twitter
5,2012,2,Twitter
6,2012,3,Twitter
7,2012,2,Twitter
8,2012,2,Twitter
9,2012,2,Twitter
10,2012,1,Twitter
11,2012,2,Twitter
12,2012,5,Twitter
13,2012,6,Twitter
14,2012,5,Twitter
15,2012,4,Twitter
16,2012,4,Twitter
17,2012,5,Twitter
18,2012,6,Twitter
19,2012,9,Twitter
20,2012,9,Twitter
21,2012,9,Twitter
22,2012,7,Twitter
23,2012,8,Twitter
0,2013,1,Twitter
1,2013,0,Twitter
2,2013,0,Twitter
3,2013,0,Twitter
4,2013,0,Twitter
5,2013,0,Twitter
6,2013,0,Twitter
7,2013,0,Twitter
8,2013,0,Twitter
9,2013,0,Twitter
10,2013,0,Twitter
11,2013,2,Twitter
12,2013,2,Twitter
13,2013,2,Twitter
14,2013,0,Twitter
15,2013,0,Twitter
16,2013,1,Twitter
17,2013,1,Twitter
18,2013,0,Twitter
19,2013,5,Twitter
20,2013,10,Twitter
21,2013,9,Twitter
22,2013,5,Twitter
23,2013,3,Twitter
0,2014,1,Twitter
1,2014,3,Twitter
2,2014,3,Twitter
3,2014,3,Twitter
4,2014,2,Twitter
5,2014,2,Twitter
6,2014,0,Twitter
7,2014,1,Twitter
8,2014,2,Twitter
9,2014,1,Twitter
10,2014,1,Twitter
11,2014,1,Twitter
12,2014,1,Twitter
13,2014,1,Twitter
14,2014,1,Twitter
15,2014,1,Twitter
16,2014,1,Twitter
17,2014,1,Twitter
18,2014,2,Twitter
19,2014,3,Twitter
20,2014,4,Twitter
21,2014,4,Twitter
22,2014,3,Twitter
23,2014,1,Twitter
